System,3wrobotNI
Controller,MPC
dt,0.4
state_init,[-3.         -3.          1.57079633]
is_est_model,False
model_est_stage,1.0
model_est_period_multiplier,1
model_order,5
prob_noise_pow,False
Nactor,12
pred_step_size_multiplier,12.0
buffer_size,10
stage_obj_struct,quadratic
R1_diag,"[1, 10, 1, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,4
gamma,1.0
critic_period_multiplier,1.0
critic_struct,quad-nomix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],stage_obj,accum_obj,v [m/s],omega [rad/s]
19.493,-1.000740782966411,0.9917175955619703,-1.557215408239182,13.261439835821903,5.304575934328762,0.22,-0.3212698400992496
20.428,-1.0229498292067303,0.7482529424732218,-1.8306318666818968,9.996464043583671,9.30316155176223,0.0791464808968648,0.1740057845240945
21.782,-1.0554105387582975,0.6237857450346576,-1.7153080210782794,7.947259569581991,12.482065379595026,0.22,-0.27387494519994704
23.16,-1.1183658856377205,0.3594219271596749,-1.9666517299802106,6.410302498424145,15.046186378964684,0.06595170853652403,-0.07784207280861756
24.501,-1.1743928618631747,0.2368076876119456,-2.062243111645738,6.188917000831399,17.521753179297242,0.08260279092032805,-0.3859608776999924
25.835,-1.246992793404484,0.15592702150829751,-2.55466343514361,8.32442865402696,20.851524640908025,-0.015624539380785188,-0.8430695350735594
27.144,-1.253753473537811,0.15153252558122587,-2.7335203387082583,9.273652277630086,24.56098555196006,0.0034871027110593283,0.48637070586459114
