System,3wrobotNI
Controller,N_CTRL
dt,0.4
state_init,[-3.         -3.          1.57079633]
is_est_model,False
model_est_stage,1.0
model_est_period_multiplier,1
model_order,5
prob_noise_pow,False
Nactor,3
pred_step_size_multiplier,12.0
buffer_size,10
stage_obj_struct,quadratic
R1_diag,"[1, 10, 1, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,4
gamma,1.0
critic_period_multiplier,1.0
critic_struct,quad-nomix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],stage_obj,accum_obj,v [m/s],omega [rad/s]
0.05023694038391113,0.0,0.0,0.0,1,0.4,-0.22,-0.5
0.15018963813781738,-1.0007960107998355,0.9992033561399648,-1.5010035703514322,1,0.8,-0.22,-0.5
0.20029854774475098,-1.0007960107998355,0.9992033561399648,-1.5009895030240448,1,1.2000000000000002,-0.22,-0.5
0.25028562545776367,-1.0007960107998355,0.9992033561399648,-1.500961725784455,1,1.6,-0.22,-0.5
0.30031347274780273,-1.0008295138239973,0.9996830907383615,-1.5011841711902105,1,2.0,-0.22,-0.5
0.3503532409667969,-1.001184033232604,1.005011859307039,-1.507541125011235,1,2.4,-0.22,-0.5
0.4003591537475586,-1.001743057317982,1.0147150361577622,-1.5184949105397194,1,2.8,0.22,0.26558087939469965
0.4503822326660156,-1.001743057317982,1.0147150361577622,-1.5184949105397194,1,3.1999999999999997,0.22,0.26558087939469965
0.5003154277801514,-1.0024604855913726,1.031277822299406,-1.5374770844693293,1,3.5999999999999996,0.22,0.26558087939469965
0.5503497123718262,-1.0025290473954431,1.0334534608605175,-1.5411096285549315,1,3.9999999999999996,0.22,0.26558087939469965
0.6003308296203613,-1.0024312267758384,1.0300632385264499,-1.5415214970888158,1,4.3999999999999995,0.22,0.26558087939469965
0.6503951549530029,-1.0023065796301938,1.0260154472404377,-1.5385028782074153,1,4.8,0.22,0.26558087939469965
0.7003648281097412,-1.0021491478110338,1.0210317286545276,-1.539932317472734,1,5.2,0.22,0.26558087939469965
0.7503745555877686,-1.0017727907637772,1.009293605103136,-1.5371864503571664,1,5.6000000000000005,0.22,0.26558087939469965
0.8003778457641602,-1.0015383919249436,1.0027170024612349,-1.5331537220054925,1,6.000000000000001,0.22,0.3153556831221105
0.850351095199585,-1.0010194502123466,0.9897430129184367,-1.5264648861054302,1,6.400000000000001,0.22,0.3153556831221105
0.9002854824066162,-1.0004217082324158,0.9764683568494472,-1.5236228205003464,1,6.800000000000002,0.22,0.3153556831221105
0.9503538608551025,-1.0001185395790353,0.969894565220837,-1.5257995802590099,1,7.200000000000002,0.22,0.3153556831221105
1.0005481243133545,-0.9995225079233582,0.9568731940828619,-1.5254713947442025,1,7.600000000000002,0.22,0.3153556831221105
