System,3wrobotNI
Controller,MPC
dt,0.4
state_init,[-3.         -3.          1.57079633]
is_est_model,False
model_est_stage,1.0
model_est_period_multiplier,1
model_order,5
prob_noise_pow,False
Nactor,3
pred_step_size_multiplier,12.0
buffer_size,10
stage_obj_struct,quadratic
R1_diag,"[1, 10, 1, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,4
gamma,1.0
critic_period_multiplier,1.0
critic_struct,quad-nomix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],stage_obj,accum_obj,v [m/s],omega [rad/s]
55.9,0.10909773141191477,0.17980449311622437,-0.2869791574475824,0.4175559092563743,0.16702236370254975,0.22,-0.9665107728054213
55.991,0.10909773141191477,0.17980449311622437,-0.2869791574475824,0.4175559092563743,0.3340447274050995,0.22,-0.9665107728054213
56.041,0.10884899683049344,0.17987866753805504,-0.2864206061443111,0.41744821808774074,0.5010240146401959,0.22,-0.9665107728054213
56.091,0.10935947877497974,0.17972949113929548,-0.2824583127510978,0.41476909389203315,0.6669316521970091,0.22,-0.9665107728054213
